"id","created_at","updated_at","device_id","bugreport","end_time","status","os","device_type","number_meetings","sum_meetings","has_error","error","comment","ecs_arn"
"01H97223W74XBJH3M3BGP8WH2T",2023-09-01 05:55:04.000 +0530,2023-09-01 06:07:17.000 +0530,"2323LZ535JF8",bugreports/2323LZ535JF8/debugarchive/2023-09-01/2023-09-01T00:24:52.162Z,2023-09-01 05:54:52.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/32c493f5f7dd41eabed008368e3774b7
"01H972344D92VHNWNXGFRS4VWX",2023-09-01 05:55:37.000 +0530,2023-09-01 05:57:56.000 +0530,"2319LZ51KBP8",bugreports/2319LZ51KBP8/debugarchive/2023-09-01/2023-09-01T00:25:16.204Z,2023-09-01 05:55:16.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/728ba9705a0b478bab9c589f0a5b75fd
"01H972SM26GW2R7JZJ856Y8E26",2023-09-01 06:07:54.000 +0530,2023-09-01 06:12:07.000 +0530,"2241LZ5028P8",bugreports/2241LZ5028P8/debugarchive/2023-09-01/2023-09-01T00:37:27.704Z,2023-09-01 06:07:28.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/80a52f0a2ac446d1b7bb371a529575cb
"01H972Y38NVTFY75QD6SR7TZD2",2023-09-01 06:10:21.000 +0530,2023-09-01 06:23:09.000 +0530,"2241LZ502D08",bugreports/2241LZ502D08/debugarchive/2023-09-01/2023-09-01T00:39:49.385Z,2023-09-01 06:09:49.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/961e255d8ae14e159c2786e7efa1c148
"01H972F7NH1ZH5JC976AMZFVQ5",2023-09-01 06:02:14.000 +0530,2023-09-01 06:16:05.000 +0530,"2323LZ535JL8",bugreports/2323LZ535JL8/debugarchive/2023-09-01/2023-09-01T00:31:59.738Z,2023-09-01 06:02:00.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/c0c953a4d22e44fdb034016e4f9afdbb
"01H973YP04JX7GRS7KHEVNN7D8",2023-09-01 06:28:09.000 +0530,2023-09-01 06:42:04.000 +0530,"2323LZ535K18",bugreports/2323LZ535K18/debugarchive/2023-09-01/2023-09-01T00:57:46.626Z,2023-09-01 06:27:47.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/bec63bccbecf407ebd58482934ca60e1
"01H97487RYP2B03RM181V5P9PD",2023-09-01 06:33:22.000 +0530,2023-09-01 06:36:09.000 +0530,"2323LZ50B918",bugreports/2323LZ50B918/debugarchive/2023-09-01/2023-09-01T01:02:45.627Z,2023-09-01 06:32:46.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/5a7b916b84d7483abe076b37295a728f
"01H9749EMPFBJP2SSWM9PF5P6Y",2023-09-01 06:34:02.000 +0530,2023-09-01 06:46:51.000 +0530,"2324LZ51P0V8",bugreports/2324LZ51P0V8/debugarchive/2023-09-01/2023-09-01T01:03:41.272Z,2023-09-01 06:33:41.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/f96edaff615c4ef0aa49ba10f5806288
"01H974NTB7K1Q4P2HTPFAZMQFB",2023-09-01 06:40:47.000 +0530,2023-09-01 06:51:26.000 +0530,"2323LZ535KH8",bugreports/2323LZ535KH8/debugarchive/2023-09-01/2023-09-01T01:13:12.893Z,2023-09-01 06:43:13.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/85b67b20adbf4565b2663ecbf2d48527
"01H974R62XTXEQVKA2RQ3MH10A",2023-09-01 06:42:04.000 +0530,2023-09-01 06:48:36.000 +0530,"2241LZ502AN8",bugreports/2241LZ502AN8/debugarchive/2023-09-01/2023-09-01T01:06:33.406Z,2023-09-01 06:36:33.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/57dff7980bd443978ab2a18ec258d49e
"01H974XCZ4T39XNXWD45M6M100",2023-09-01 06:44:55.000 +0530,2023-09-01 06:55:01.000 +0530,"2241LZ502CQ8",bugreports/2241LZ502CQ8/debugarchive/2023-09-01/2023-09-01T01:14:45.625Z,2023-09-01 06:44:46.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/264aa2f4e122482bb9161bd12747f8f5
"01H974YNHYGD6PCDFCQ2FKBTJZ",2023-09-01 06:45:37.000 +0530,2023-09-01 06:52:43.000 +0530,"2241LZ5029V8",bugreports/2241LZ5029V8/debugarchive/2023-09-01/2023-09-01T01:15:25.024Z,2023-09-01 06:45:25.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/6e3c5582b4f04792b69647f0e417f046
"01H9752B3PFVCZDKN5HV8KGHVQ",2023-09-01 06:47:37.000 +0530,2023-09-01 06:50:29.000 +0530,"2326LZ517618",bugreports/2326LZ517618/debugarchive/2023-09-01/2023-09-01T01:17:12.630Z,2023-09-01 06:47:13.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/da532c2450b544f4b8d91718e07fee34
"01H9757374EAW4Z6D2F9RE387S",2023-09-01 06:50:13.000 +0530,2023-09-01 07:03:04.000 +0530,"2241LZ502AU8",bugreports/2241LZ502AU8/debugarchive/2023-09-01/2023-09-01T01:19:59.274Z,2023-09-01 06:49:59.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/c0bc186e2886419b811760318688dc85
